pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
,,0.105503,0.580833,,,All
,,0.106156,0.581667,,,All
,,0.108173,0.5825,,,All
,,0.108303,0.583333,,,All
,,0.113451,0.584167,,,All
,,0.115108,0.585,,,All
,,0.11597,0.585833,,,All
,,0.120726,0.586667,,,All
,,0.12158,0.5875,,,All
,,0.123776,0.588333,,,All
,,0.124509,0.589167,,,All
,,0.12735,0.59,,,All
,,0.128676,0.590833,,,All
,,0.12964,0.591667,,,All
,,0.129958,0.5925,,,All
,,0.130124,0.593333,,,All
,,0.133729,0.594167,,,All
,,0.134494,0.595,,,All
,,0.135078,0.595833,,,All
,,0.139286,0.596667,,,All
,,0.139435,0.5975,,,All
,,0.140537,0.598333,,,All
,,0.142138,0.599167,,,All
,,0.145098,0.6,,,All
,,0.147388,0.600833,,,All
,,0.147562,0.601667,,,All
,,0.150512,0.6025,,,All
,,0.151176,0.603333,,,All
,,0.153306,0.604167,,,All
,,0.155942,0.605,,,All
,,0.156968,0.605833,,,All
,,0.160141,0.606667,,,All
,,0.160375,0.6075,,,All
,,0.163181,0.608333,,,All
,,0.165013,0.609167,,,All
,,0.165804,0.61,,,All
,,0.167178,0.610833,,,All
,,0.167228,0.611667,,,All
,,0.167908,0.6125,,,All
,,0.168522,0.613333,,,All
,,0.170256,0.614167,,,All
,,0.170365,0.615,,,All
,,0.171579,0.615833,,,All
,,0.174253,0.616667,,,All
,,0.174597,0.6175,,,All
,,0.174931,0.618333,,,All
,,0.17651,0.619167,,,All
,,0.178167,0.62,,,All
,,0.187846,0.620833,,,All
,,0.192123,0.621667,,,All
,,0.194416,0.6225,,,All
,,0.200176,0.623333,,,All
,,0.200679,0.624167,,,All
,,0.201363,0.625,,,All
,,0.202419,0.625833,,,All
,,0.20396,0.626667,,,All
,,0.204116,0.6275,,,All
,,0.215943,0.628333,,,All
,,0.216249,0.629167,,,All
,,0.222027,0.63,,,All
,,0.2243,0.630833,,,All
,,0.226513,0.631667,,,All
,,0.226817,0.6325,,,All
,,0.228672,0.633333,,,All
,,0.228992,0.634167,,,All
,,0.229515,0.635,,,All
,,0.22961,0.635833,,,All
,,0.230283,0.636667,,,All
,,0.231186,0.6375,,,All
,,0.233626,0.638333,,,All
,,0.234855,0.639167,,,All
,,0.235564,0.64,,,All
,,0.237581,0.640833,,,All
,,0.24252,0.641667,,,All
,,0.244493,0.6425,,,All
,,0.244581,0.643333,,,All
,,0.25157,0.644167,,,All
,,0.251963,0.645,,,All
,,0.252069,0.645833,,,All
,,0.252898,0.646667,,,All
,,0.254202,0.6475,,,All
,,0.254912,0.648333,,,All
,,0.257439,0.649167,,,All
,,0.259237,0.65,,,All
,,0.260217,0.650833,,,All
,,0.262933,0.651667,,,All
,,0.263349,0.6525,,,All
,,0.264108,0.653333,,,All
,,0.264705,0.654167,,,All
,,0.264795,0.655,,,All
,,0.265661,0.655833,,,All
,,0.270432,0.656667,,,All
,,0.270836,0.6575,,,All
,,0.271019,0.658333,,,All
,,0.272577,0.659167,,,All
,,0.273011,0.66,,,All
,,0.273624,0.660833,,,All
,,0.275932,0.661667,,,All
,,0.276145,0.6625,,,All
,,0.281367,0.663333,,,All
,,0.28244,0.664167,,,All
,,0.283401,0.665,,,All
,,0.287064,0.665833,,,All
,,0.290944,0.666667,,,All
,,0.291886,0.6675,,,All
,,0.292133,0.668333,,,All
,,0.297467,0.669167,,,All
,,0.297735,0.67,,,All
,,0.300143,0.670833,,,All
,,0.301336,0.671667,,,All
,,0.304291,0.6725,,,All
,,0.304862,0.673333,,,All
,,0.308479,0.674167,,,All
,,0.309361,0.675,,,All
,,0.310161,0.675833,,,All
,,0.310768,0.676667,,,All
,,0.31123,0.6775,,,All
,,0.312573,0.678333,,,All
,,0.31351,0.679167,,,All
,,0.31666,0.68,,,All
,,0.317416,0.680833,,,All
,,0.318285,0.681667,,,All
,,0.318548,0.6825,,,All
,,0.320409,0.683333,,,All
,,0.322824,0.684167,,,All
,,0.324454,0.685,,,All
,,0.329752,0.685833,,,All
,,0.331313,0.686667,,,All
,,0.332189,0.6875,,,All
,,0.333695,0.688333,,,All
,,0.334576,0.689167,,,All
,,0.336397,0.69,,,All
,,0.337427,0.690833,,,All
,,0.339847,0.691667,,,All
,,0.341704,0.6925,,,All
,,0.342098,0.693333,,,All
,,0.342605,0.694167,,,All
,,0.344641,0.695,,,All
,,0.346127,0.695833,,,All
,,0.347873,0.696667,,,All
,,0.352332,0.6975,,,All
,,0.354108,0.698333,,,All
,,0.354212,0.699167,,,All
,,0.363402,0.7,,,All
,,0.363739,0.700833,,,All
,,0.364234,0.701667,,,All
,,0.368258,0.7025,,,All
,,0.369692,0.703333,,,All
,,0.370847,0.704167,,,All
,,0.372198,0.705,,,All
,,0.374387,0.705833,,,All
,,0.374509,0.706667,,,All
,,0.376956,0.7075,,,All
,,0.379633,0.708333,,,All
,,0.382249,0.709167,,,All
,,0.383071,0.71,,,All
,,0.383458,0.710833,,,All
,,0.388964,0.711667,,,All
,,0.391843,0.7125,,,All
,,0.392307,0.713333,,,All
,,0.393334,0.714167,,,All
,,0.393745,0.715,,,All
,,0.393921,0.715833,,,All
,,0.395234,0.716667,,,All
,,0.395418,0.7175,,,All
,,0.395937,0.718333,,,All
,,0.402432,0.719167,,,All
,,0.403127,0.72,,,All
,,0.406033,0.720833,,,All
,,0.407096,0.721667,,,All
,,0.408047,0.7225,,,All
,,0.408566,0.723333,,,All
,,0.415614,0.724167,,,All
,,0.41701,0.725,,,All
,,0.417683,0.725833,,,All
,,0.418076,0.726667,,,All
,,0.419641,0.7275,,,All
,,0.420587,0.728333,,,All
,,0.42302,0.729167,,,All
,,0.426627,0.73,,,All
,,0.426868,0.730833,,,All
,,0.427154,0.731667,,,All
,,0.43901,0.7325,,,All
,,0.446423,0.733333,,,All
,,0.447512,0.734167,,,All
,,0.44979,0.735,,,All
,,0.453584,0.735833,,,All
,,0.4548,0.736667,,,All
,,0.457146,0.7375,,,All
,,0.457373,0.738333,,,All
,,0.457994,0.739167,,,All
,,0.458107,0.74,,,All
,,0.460677,0.740833,,,All
,,0.461248,0.741667,,,All
,,0.461948,0.7425,,,All
,,0.462907,0.743333,,,All
,,0.463187,0.744167,,,All
,,0.465187,0.745,,,All
,,0.467651,0.745833,,,All
,,0.468437,0.746667,,,All
,,0.468471,0.7475,,,All
,,0.46928,0.748333,,,All
,,0.47053,0.749167,,,All
,,0.473974,0.75,,,All
,,0.476421,0.750833,,,All
,,0.477688,0.751667,,,All
,,0.480519,0.7525,,,All
,,0.481444,0.753333,,,All
,,0.482729,0.754167,,,All
,,0.486179,0.755,,,All
,,0.490613,0.755833,,,All
,,0.496428,0.756667,,,All
,,0.498484,0.7575,,,All
,,0.503711,0.758333,,,All
,,0.506597,0.759167,,,All
,,0.509766,0.76,,,All
,,0.510397,0.760833,,,All
,,0.514295,0.761667,,,All
,,0.520062,0.7625,,,All
,,0.521431,0.763333,,,All
,,0.523397,0.764167,,,All
,,0.524253,0.765,,,All
,,0.526211,0.765833,,,All
,,0.528139,0.766667,,,All
,,0.530949,0.7675,,,All
,,0.531174,0.768333,,,All
,,0.531235,0.769167,,,All
,,0.531453,0.77,,,All
,,0.534192,0.770833,,,All
,,0.538763,0.771667,,,All
,,0.540394,0.7725,,,All
,,0.540749,0.773333,,,All
,,0.548187,0.774167,,,All
,,0.548502,0.775,,,All
,,0.550482,0.775833,,,All
,,0.559367,0.776667,,,All
,,0.565427,0.7775,,,All
,,0.565666,0.778333,,,All
,,0.567591,0.779167,,,All
,,0.567843,0.78,,,All
,,0.569083,0.780833,,,All
,,0.569146,0.781667,,,All
,,0.577879,0.7825,,,All
,,0.579474,0.783333,,,All
,,0.582125,0.784167,,,All
,,0.582675,0.785,,,All
,,0.582679,0.785833,,,All
,,0.582696,0.786667,,,All
,,0.58292,0.7875,,,All
,,0.586389,0.788333,,,All
,,0.589234,0.789167,,,All
,,0.589762,0.79,,,All
,,0.591669,0.790833,,,All
,,0.596734,0.791667,,,All
,,0.596752,0.7925,,,All
,,0.599114,0.793333,,,All
,,0.60154,0.794167,,,All
,,0.603264,0.795,,,All
,,0.60535,0.795833,,,All
,,0.607617,0.796667,,,All
,,0.608492,0.7975,,,All
,,0.60863,0.798333,,,All
,,0.609852,0.799167,,,All
,,0.615698,0.8,,,All
,,0.617793,0.800833,,,All
,,0.618344,0.801667,,,All
,,0.625336,0.8025,,,All
,,0.627031,0.803333,,,All
,,0.632046,0.804167,,,All
,,0.632891,0.805,,,All
,,0.633711,0.805833,,,All
,,0.633828,0.806667,,,All
,,0.636052,0.8075,,,All
,,0.637167,0.808333,,,All
,,0.637564,0.809167,,,All
,,0.64642,0.81,,,All
,,0.646766,0.810833,,,All
,,0.647517,0.811667,,,All
,,0.648067,0.8125,,,All
,,0.648474,0.813333,,,All
,,0.651538,0.814167,,,All
,,0.653009,0.815,,,All
,,0.656377,0.815833,,,All
,,0.656417,0.816667,,,All
,,0.658462,0.8175,,,All
,,0.660953,0.818333,,,All
,,0.664139,0.819167,,,All
,,0.66436,0.82,,,All
,,0.667923,0.820833,,,All
,,0.673833,0.821667,,,All
,,0.67842,0.8225,,,All
,,0.690468,0.823333,,,All
,,0.6961,0.824167,,,All
,,0.696422,0.825,,,All
,,0.697816,0.825833,,,All
,,0.700943,0.826667,,,All
,,0.70525,0.8275,,,All
,,0.706317,0.828333,,,All
,,0.718656,0.829167,,,All
,,0.720155,0.83,,,All
,,0.727462,0.830833,,,All
,,0.729501,0.831667,,,All
,,0.7324,0.8325,,,All
,,0.732873,0.833333,,,All
,,0.733075,0.834167,,,All
,,0.734327,0.835,,,All
,,0.735372,0.835833,,,All
,,0.739956,0.836667,,,All
,,0.740539,0.8375,,,All
,,0.742949,0.838333,,,All
,,0.743563,0.839167,,,All
,,0.743645,0.84,,,All
,,0.745621,0.840833,,,All
,,0.745625,0.841667,,,All
,,0.748958,0.8425,,,All
,,0.750658,0.843333,,,All
,,0.75168,0.844167,,,All
,,0.752334,0.845,,,All
,,0.752775,0.845833,,,All
,,0.752918,0.846667,,,All
,,0.753788,0.8475,,,All
,,0.758201,0.848333,,,All
,,0.760187,0.849167,,,All
,,0.760506,0.85,,,All
,,0.761751,0.850833,,,All
,,0.765008,0.851667,,,All
,,0.768838,0.8525,,,All
,,0.769109,0.853333,,,All
,,0.77122,0.854167,,,All
,,0.780437,0.855,,,All
,,0.788901,0.855833,,,All
,,0.790843,0.856667,,,All
,,0.791231,0.8575,,,All
,,0.792392,0.858333,,,All
,,0.796788,0.859167,,,All
,,0.801053,0.86,,,All
,,0.801885,0.860833,,,All
,,0.80928,0.861667,,,All
,,0.811662,0.8625,,,All
,,0.811742,0.863333,,,All
,,0.81262,0.864167,,,All
,,0.815739,0.865,,,All
,,0.816621,0.865833,,,All
,,0.825449,0.866667,,,All
,,0.825479,0.8675,,,All
,,0.837188,0.868333,,,All
,,0.843855,0.869167,,,All
,,0.848679,0.87,,,All
,,0.848828,0.870833,,,All
,,0.85336,0.871667,,,All
,,0.858091,0.8725,,,All
,,0.861894,0.873333,,,All
,,0.864654,0.874167,,,All
,,0.86747,0.875,,,All
,,0.868409,0.875833,,,All
,,0.871687,0.876667,,,All
,,0.872988,0.8775,,,All
,,0.879657,0.878333,,,All
,,0.902138,0.879167,,,All
,,0.908294,0.88,,,All
,,0.911432,0.880833,,,All
,,0.912224,0.881667,,,All
,,0.91601,0.8825,,,All
,,0.916169,0.883333,,,All
,,0.922679,0.884167,,,All
,,0.923435,0.885,,,All
,,0.928678,0.885833,,,All
,,0.931222,0.886667,,,All
,,0.936658,0.8875,,,All
,,0.940094,0.888333,,,All
,,0.947101,0.889167,,,All
,,0.952119,0.89,,,All
,,0.95462,0.890833,,,All
,,0.958538,0.891667,,,All
,,0.960369,0.8925,,,All
,,0.965369,0.893333,,,All
,,0.965677,0.894167,,,All
,,0.970232,0.895,,,All
,,0.976488,0.895833,,,All
,,0.979146,0.896667,,,All
,,0.986388,0.8975,,,All
,,0.995085,0.898333,,,All
,,1.00224,0.899167,,,All
,,1.00263,0.9,,,All
,,1.00942,0.900833,,,All
,,1.02643,0.901667,,,All
,,1.02691,0.9025,,,All
,,1.02784,0.903333,,,All
,,1.03656,0.904167,,,All
,,1.03933,0.905,,,All
,,1.03984,0.905833,,,All
,,1.05305,0.906667,,,All
,,1.05656,0.9075,,,All
,,1.07199,0.908333,,,All
,,1.08101,0.909167,,,All
,,1.08972,0.91,,,All
,,1.09235,0.910833,,,All
,,1.10619,0.911667,,,All
,,1.11002,0.9125,,,All
,,1.1132,0.913333,,,All
,,1.11373,0.914167,,,All
,,1.12392,0.915,,,All
,,1.12903,0.915833,,,All
,,1.13346,0.916667,,,All
,,1.13364,0.9175,,,All
,,1.13513,0.918333,,,All
,,1.14791,0.919167,,,All
,,1.15046,0.92,,,All
,,1.15483,0.920833,,,All
,,1.16304,0.921667,,,All
,,1.16593,0.9225,,,All
,,1.16859,0.923333,,,All
,,1.17079,0.924167,,,All
,,1.17167,0.925,,,All
,,1.17651,0.925833,,,All
,,1.17713,0.926667,,,All
,,1.18737,0.9275,,,All
,,1.19575,0.928333,,,All
,,1.20274,0.929167,,,All
,,1.20285,0.93,,,All
,,1.22932,0.930833,,,All
,,1.23077,0.931667,,,All
,,1.23344,0.9325,,,All
,,1.25416,0.933333,,,All
,,1.27187,0.934167,,,All
,,1.27697,0.935,,,All
,,1.28252,0.935833,,,All
,,1.29572,0.936667,,,All
,,1.31768,0.9375,,,All
,,1.31833,0.938333,,,All
,,1.32352,0.939167,,,All
,,1.32886,0.94,,,All
,,1.33148,0.940833,,,All
,,1.35269,0.941667,,,All
,,1.3785,0.9425,,,All
,,1.38465,0.943333,,,All
,,1.38665,0.944167,,,All
,,1.40652,0.945,,,All
,,1.45731,0.945833,,,All
,,1.45967,0.946667,,,All
,,1.47063,0.9475,,,All
,,1.50562,0.948333,,,All
,,1.5101,0.949167,,,All
,,1.51202,0.95,,,All
,,1.55543,0.950833,,,All
,,1.56667,0.951667,,,All
,,1.57282,0.9525,,,All
,,1.60738,0.953333,,,All
,,1.6184,0.954167,,,All
,,1.62547,0.955,,,All
,,1.63091,0.955833,,,All
,,1.64565,0.956667,,,All
,,1.68434,0.9575,,,All
,,1.68449,0.958333,,,All
,,1.68705,0.959167,,,All
,,1.68969,0.96,,,All
,,1.73476,0.960833,,,All
,,1.76922,0.961667,,,All
,,1.78822,0.9625,,,All
,,1.816,0.963333,,,All
,,1.84566,0.964167,,,All
,,1.89097,0.965,,,All
,,1.9045,0.965833,,,All
,,1.91546,0.966667,,,All
,,2.03398,0.9675,,,All
,,2.04814,0.968333,,,All
,,2.12583,0.969167,,,All
,,2.20445,0.97,,,All
,,2.21782,0.970833,,,All
,,2.22225,0.971667,,,All
,,2.23676,0.9725,,,All
,,2.2377,0.973333,,,All
,,2.24056,0.974167,,,All
,,2.25558,0.975,,,All
,,2.28336,0.975833,,,All
,,2.30251,0.976667,,,All
,,2.33113,0.9775,,,All
,,2.37091,0.978333,,,All
,,2.39359,0.979167,,,All
,,2.44325,0.98,,,All
,,2.48682,0.980833,,,All
,,2.49238,0.981667,,,All
,,2.53215,0.9825,,,All
,,2.53372,0.983333,,,All
,,2.58638,0.984167,,,All
,,2.60474,0.985,,,All
,,2.70807,0.985833,,,All
,,2.72309,0.986667,,,All
,,2.7733,0.9875,,,All
,,2.79628,0.988333,,,All
,,2.80988,0.989167,,,All
,,2.85428,0.99,,,All
,,2.87346,0.990833,,,All
,,2.92958,0.991667,,,All
,,2.95214,0.9925,,,All
,,2.98704,0.993333,,,All
,,3.06869,0.994167,,,All
,,3.07602,0.995,,,All
,,3.12069,0.995833,,,All
,,3.14536,0.996667,,,All
,,3.28908,0.9975,,,All
,,3.40537,0.998333,,,All
,,3.64451,0.999167,,,All
,,5.01591,1,,,All
